title,city,country,apartment_type,district,guests,bedrooms,beds,baths,amenities,price,rating,reviews,is_superhost,listing_url,image_url
The postmodern viennese Loft 78 (2),Vienna,Austria,Entire loft,Rudolfsheim-Fünfhaus,4,1,3,1 bath,"['Wifi', 'Kitchen', 'Self check-in', 'Heating']",80,4.93,55,TRUE,https://www.airbnb.com/rooms/40372573?adults=1&children=0&infants=0&check_in=2021-06-11&check_out=2021-06-13&previous_page_section_name=1000&federated_search_id=751ad82b-b874-48ec-94c3-a496cfc3014c,https://a0.muscache.com/im/pictures/e82ead17-f090-4ad7-adb4-36ca09ac89a0.jpg?im_w=720
Comfy apartment near Schönbrunn Palace,Vienna,Austria,Entire apartment,Rudolfsheim-Fünfhaus,3,1,1,1 bath,"['Wifi', 'Kitchen', 'Self check-in', 'Heating']",56,4.89,57,TRUE,https://www.airbnb.com/rooms/39444130?adults=1&children=0&infants=0&check_in=2021-05-21&check_out=2021-05-23&previous_page_section_name=1000&federated_search_id=751ad82b-b874-48ec-94c3-a496cfc3014c,https://a0.muscache.com/im/pictures/miso/Hosting-39444130/original/e088c23e-d785-43cf-b580-a40f5efc6c80.jpeg?im_w=720
Vienna Theater Apartment with Parking lot,Vienna,Austria,Entire apartment,Mariahilf,4,1,1,1 bath,"['Wifi', 'Kitchen', 'Heating']",68,4.91,121,TRUE,https://www.airbnb.com/rooms/plus/29795528?adults=1&children=0&infants=0&check_in=2021-06-04&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=751ad82b-b874-48ec-94c3-a496cfc3014c,https://a0.muscache.com/im/pictures/monet/Select-29795528/original/16a33762-3f5d-4aa1-a386-f4d3e4c10f88?im_w=720
⚜️NEW renovated flat in Vienna⚜️(15 min from Center),Vienna,Austria,Entire apartment,Leopoldstadt,4,1,3,1 bath,"['Wifi', 'Kitchen', 'Heating']",50,4.91,33,TRUE,https://www.airbnb.com/rooms/40769825?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=751ad82b-b874-48ec-94c3-a496cfc3014c,https://a0.muscache.com/im/pictures/4b727480-2791-42cd-8935-e728e75b9125.jpg?im_w=720
urban apartment - clean & central,Vienna,Austria,Entire apartment,Landstraße,3,1,2,1 bath,"['Wifi', 'Kitchen', 'Self check-in', 'Heating']",48,4.86,73,TRUE,https://www.airbnb.com/rooms/34862476?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=751ad82b-b874-48ec-94c3-a496cfc3014c,https://a0.muscache.com/im/pictures/65edda59-bd03-42df-9ec2-d39791805c3c.jpg?im_w=720
"Vienna, Private single room next to the downtown",Vienna,Austria,Private room,Leopoldstadt,1,1,1,1 shared bath,"['Wifi', 'Kitchen', 'Heating']",17,4,3,FALSE,https://www.airbnb.com/rooms/45965391?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=751ad82b-b874-48ec-94c3-a496cfc3014c,https://a0.muscache.com/im/pictures/d36b847b-9c31-49d1-ae0c-4e9d3b9b0875.jpg?im_w=720
"Urban Living Studio III (15min center, 2min metro)",Vienna,Austria,Entire apartment,Ottakring,2,Studio,1,1 bath,"['Wifi', 'Self check-in', 'Heating']",32,4.39,28,FALSE,https://www.airbnb.com/rooms/44056918?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=751ad82b-b874-48ec-94c3-a496cfc3014c,https://a0.muscache.com/im/pictures/3465bc73-8af1-4eb6-bba2-c76d89a5a10d.jpg?im_w=720
"AMAZING APARTMENT IN VIENNA, OPERA, CATHEDRAL",Vienna,Austria,Entire apartment,Innere Stadt,5,2,2,1 bath,"['Wifi', 'Kitchen', 'Heating']",62,,,FALSE,https://www.airbnb.com/rooms/49143146?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=751ad82b-b874-48ec-94c3-a496cfc3014c,https://a0.muscache.com/im/pictures/45f51aa4-8649-43cd-99bf-3b3fc1fbb26b.jpg?im_w=720
"Private room in Vienna for 2PAX, next subway U6",Vienna,Austria,Private room,Hernals,2,1,2,1 shared bath,"['Wifi', 'Kitchen', 'Heating']",17,,,FALSE,https://www.airbnb.com/rooms/47710508?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=751ad82b-b874-48ec-94c3-a496cfc3014c,https://a0.muscache.com/im/pictures/0e862b26-ffd1-4bee-acee-19167da6c14e.jpg?im_w=720
⭐️Cozy apartment🚭Whirlpool+Netflix🚭15min to center⭐️,Vienna,Austria,Entire apartment,Währing,3,Studio,1,1 bath,"['Wifi', 'Kitchen', 'Self check-in', 'Heating']",76,4.86,44,TRUE,https://www.airbnb.com/rooms/40871547?adults=1&children=0&infants=0&check_in=2021-05-21&check_out=2021-05-23&previous_page_section_name=1000&federated_search_id=a39b7f43-23ed-4c0b-91d7-97ba2a5e9454,https://a0.muscache.com/im/pictures/981ab051-453a-4b56-8e41-219394e0da32.jpg?im_w=720
